0,225,1981-11-14 18:12:16
1,137,2000-07-14 10:35:32
2,18,1998-07-19 11:36:37
3,36,1991-08-28 13:01:15
4,158,2017-06-01 08:56:02
5,87,1989-07-02 12:32:07
6,72,1977-02-03 23:36:42
7,141,1970-10-20 13:22:38
8,236,1976-01-06 05:19:25
9,104,1986-05-24 23:42:13
10,93,1972-11-01 05:03:33
11,161,1980-06-07 06:05:02
12,270,2000-02-13 17:45:45
13,157,2006-08-01 08:19:50
14,88,1978-12-20 10:12:41
15,89,1988-11-15 06:19:30
16,154,2003-07-30 03:42:45
17,185,1996-08-08 07:42:04
18,136,1995-08-14 14:58:38
19,197,2016-08-27 09:08:07
20,262,1992-05-27 11:37:35
21,120,1985-09-23 16:50:15
22,205,1998-04-04 13:20:25
23,22,1991-06-23 03:09:58
24,231,2018-12-28 01:25:11
25,130,1990-04-10 06:20:23
26,114,2021-11-14 19:41:31
27,221,2015-10-29 17:25:27
28,81,1973-12-22 18:06:50
29,154,2000-01-31 16:30:12
30,243,2003-02-11 10:45:31
31,196,2008-11-16 08:12:29
32,196,1994-07-27 05:01:36
33,202,1993-12-10 11:29:58
34,19,1999-01-20 17:15:54
35,9,2017-08-08 21:22:17
36,238,1970-07-07 06:42:19
37,164,1998-09-01 11:30:08
38,180,2018-04-22 12:59:32
39,271,1977-05-14 16:38:02
40,82,1994-11-08 22:34:23
41,66,1992-04-07 03:44:15
42,168,2010-09-24 09:23:39
43,15,1978-08-09 05:18:39
44,156,2006-08-24 07:49:53
45,68,1978-07-30 10:36:19
46,293,1977-07-03 19:46:16
47,205,1988-12-17 19:04:41
48,134,1984-11-27 20:35:03
49,109,1985-10-18 13:44:04
50,151,2008-06-14 01:58:57
51,118,1972-08-11 13:52:49
52,294,2012-04-14 03:29:26
53,131,2006-10-15 11:01:35
54,19,2017-02-01 03:09:08
55,253,1980-01-14 14:56:19
56,29,2012-12-17 11:13:42
57,176,1992-01-08 22:24:19
58,55,2018-02-11 17:57:59
59,89,1988-07-24 07:54:23
60,119,1983-02-25 17:13:22
61,221,1997-08-10 17:12:10
62,279,1996-12-14 21:06:32
63,160,1984-02-03 03:53:59
64,294,1981-12-31 12:30:22
65,236,1990-03-31 10:55:46
66,221,2006-04-06 19:55:30
67,295,1983-04-23 03:30:12
68,84,1990-12-03 22:42:47
69,49,2014-05-05 10:59:53
70,293,2020-11-27 15:27:00
71,15,2004-08-02 14:30:05
72,298,2009-12-04 00:12:48
73,29,1996-03-28 02:11:10
74,56,2006-07-10 01:20:18
75,193,2017-12-01 23:08:25
76,91,1990-01-16 04:30:52
77,7,2007-04-25 09:44:41
78,12,2006-11-04 02:21:03
79,55,1983-01-22 15:39:59
80,83,2017-03-23 19:13:19
81,234,1993-01-03 17:55:03
82,254,2013-08-04 22:42:05
83,21,2005-10-02 14:21:54
84,272,1982-03-03 10:16:10
85,136,1973-08-02 18:57:03
86,57,1992-05-05 06:42:38
87,134,1978-05-07 18:49:44
88,249,1999-01-01 23:10:41
89,46,1981-10-15 10:37:26
90,283,1978-06-23 18:20:46
91,178,2004-02-29 19:45:19
92,191,2009-05-23 23:13:55
93,83,2014-07-10 18:38:03
94,84,1979-07-09 02:06:40
95,46,1974-06-02 04:20:30
96,97,1986-01-14 03:44:15
97,207,1971-08-11 05:01:21
98,254,2005-08-10 13:59:55
99,179,1978-09-02 13:04:57
100,93,1990-10-09 13:17:48
101,135,2007-06-14 02:58:54
102,116,1977-07-03 07:10:18
103,184,1996-01-10 09:08:27
104,5,1981-01-31 11:02:01
105,194,1998-03-26 09:55:44
106,175,1997-09-28 00:26:19
107,78,2002-03-06 21:29:23
108,276,1975-08-08 14:34:36
109,223,1989-03-31 02:16:29
110,180,1992-05-25 11:23:19
111,283,1977-08-03 15:45:08
112,81,2007-09-30 05:28:50
113,88,1976-04-22 06:19:46
114,8,2014-06-03 16:20:12
115,267,1984-10-18 06:33:20
116,86,2009-11-26 07:54:25
