<<<<<<< HEAD
95,1,831
298,1,371
77,4,647
58,5,589
149,6,850
227,6,607
90,6,260
103,6,359
293,7,736
215,9,475
170,9,938
296,9,946
174,10,759
141,10,538
110,10,273
24,11,523
246,11,738
88,12,437
176,12,406
94,12,801
112,14,144
78,14,879
190,14,121
117,15,933
54,15,595
189,16,727
199,16,796
19,16,988
298,17,731
133,18,351
51,18,537
44,18,540
83,18,252
217,19,482
166,19,531
132,19,300
209,20,820
70,20,184
206,20,340
93,21,264
299,21,373
108,21,438
66,23,303
137,24,960
247,24,434
270,24,729
252,24,76
39,25,541
120,25,629
226,25,45
68,26,148
274,26,516
116,29,259
227,29,50
47,31,353
298,31,990
7,31,754
25,31,150
22,32,401
83,32,171
249,34,393
50,34,27
117,34,474
184,35,777
220,35,763
236,35,496
28,35,59
19,38,977
68,38,996
79,38,762
196,39,256
38,40,83
208,42,446
248,42,408
275,42,715
15,42,900
122,43,647
287,43,760
16,43,850
50,44,244
36,45,751
50,45,919
257,47,282
25,48,619
65,48,3
80,49,552
176,49,195
156,50,508
203,50,502
57,51,98
178,51,635
0,51,252
212,51,799
7,52,379
201,52,216
119,53,756
260,53,908
51,53,570
101,54,808
75,54,444
61,54,547
154,54,529
165,55,203
182,55,76
131,56,91
82,56,940
100,56,565
1,56,783
286,59,897
74,59,40
191,59,448
48,59,608
35,60,225
122,60,90
158,61,251
285,61,779
280,61,995
158,63,259
180,63,584
161,63,243
219,63,325
102,64,383
68,65,393
266,65,123
62,65,925
135,65,656
146,66,950
126,69,35
56,71,271
141,71,181
181,72,962
267,72,191
245,73,541
53,75,957
168,76,120
180,76,329
13,76,606
11,77,971
176,78,786
66,79,819
115,79,197
299,81,470
90,81,174
42,81,205
176,82,32
168,82,791
227,83,879
260,84,370
203,84,329
233,84,992
57,86,599
66,86,855
55,86,9
231,87,570
28,87,176
87,87,321
8,87,392
39,88,332
207,88,182
60,88,792
225,89,20
264,90,595
180,90,986
143,90,715
153,93,445
266,93,250
280,93,43
110,93,980
19,94,165
58,95,454
223,95,188
270,97,799
250,97,297
273,98,829
147,98,519
43,98,717
289,98,602
171,99,966
96,100,855
51,100,33
249,101,213
10,101,36
259,101,648
51,102,370
79,102,848
44,103,356
174,103,443
66,105,52
294,105,631
74,105,269
152,105,337
123,107,667
78,107,954
200,108,165
91,108,499
69,108,634
95,108,654
230,109,843
32,109,59
30,110,29
199,111,760
224,111,656
282,111,587
90,112,797
197,112,936
247,112,167
253,112,685
299,113,922
71,113,325
1,114,147
207,114,772
14,114,828
160,114,39
228,115,779
37,115,753
190,116,111
283,117,759
19,117,395
159,117,296
16,118,507
40,118,944
126,118,654
191,119,103
298,119,85
53,120,590
57,120,724
253,120,24
80,121,994
2,121,110
102,121,960
44,122,688
4,123,837
17,123,582
5,123,865
96,124,391
219,124,430
288,124,937
171,124,128
219,125,820
299,125,762
216,125,303
110,125,94
169,126,687
220,128,627
172,130,494
5,131,236
82,131,349
241,132,246
202,134,307
96,134,586
105,135,224
230,136,413
266,136,414
205,137,180
123,137,94
58,137,565
41,137,794
142,138,454
162,138,573
20,140,142
289,140,348
114,140,223
184,141,811
2,141,661
274,141,514
151,142,597
183,142,832
216,142,420
200,143,781
136,143,895
50,143,596
36,143,64
133,144,44
126,144,375
264,145,329
35,145,506
209,145,329
64,145,942
198,147,819
21,147,2
226,147,30
102,147,241
154,148,474
227,150,790
178,150,512
64,150,447
83,150,757
123,151,270
35,151,17
252,151,317
215,151,682
116,152,293
271,154,378
160,156,966
72,156,589
63,156,782
69,158,855
276,158,724
161,159,924
125,159,586
284,160,475
40,160,683
226,160,438
130,160,341
286,161,629
247,161,397
6,162,0
81,163,295
160,163,507
230,164,918
78,165,346
214,165,891
179,168,0
64,168,935
4,168,541
166,169,860
