0,944,115,false,,0,171.52
0,260,209,false,,7,291.69
0,2413,257,false,,2,186.09
1,873,122,false,,4,96.22
1,3335,191,true,2000-01-28 02:18:42,5,400.83
2,74,278,true,1994-04-03 06:00:29,3,349.42
3,2213,242,true,2011-06-09 14:06:44,2,181.97
3,795,208,true,1982-03-27 10:23:48,8,265.03
4,927,218,true,2008-03-04 11:10:17,4,117.05
4,998,273,true,2004-06-23 14:56:05,8,401.70
4,2174,59,true,2019-02-13 17:55:24,9,338.98
4,814,107,false,,2,338.51
4,1215,99,true,2012-07-26 15:22:04,4,483.26
5,3865,131,false,,6,477.72
5,484,259,true,2019-01-10 04:20:01,7,445.49
5,3675,29,false,,2,339.04
5,3465,109,true,2000-03-29 04:09:17,4,195.53
5,3067,233,true,2002-01-05 17:40:52,4,49.23
6,3533,186,false,,8,407.17
6,1728,196,false,,3,485.31
6,804,199,false,,6,461.12
6,1365,124,true,1972-08-10 03:04:32,0,389.88
6,1464,277,false,,1,338.81
7,3838,33,false,,1,412.73
7,1252,285,true,1983-02-07 10:31:34,7,349.36
7,199,292,false,,1,26.07
7,1233,98,true,2003-06-10 00:20:07,5,150.01
8,1768,187,false,,4,287.64
8,3659,278,true,1999-01-28 18:11:58,0,440.27
8,589,230,true,1988-05-23 16:39:22,1,432.34
9,3335,33,true,1976-01-15 19:03:05,10,189.17
9,3494,100,false,,2,437.03
9,1,70,true,2020-07-06 09:44:00,1,265.00
10,886,294,false,,8,275.47
11,2066,224,true,1999-06-16 20:30:20,9,100.54
11,565,82,false,,10,319.78
11,3,83,false,,7,77.01
12,2858,82,true,2001-09-22 07:41:56,0,38.90
12,2768,96,true,1999-09-30 00:25:40,0,69.17
12,2637,171,false,,4,149.43
12,1001,204,true,2006-11-07 09:47:22,8,289.72
12,3003,248,false,,9,490.16
13,1630,294,true,1989-02-03 14:19:04,5,381.59
14,2008,152,true,1982-04-11 23:30:00,1,108.25
14,1726,187,false,,1,76.14
14,3707,227,false,,2,184.86
15,701,265,true,2011-01-28 00:28:59,10,429.48
15,1444,95,true,1999-03-07 09:28:29,8,497.75
15,1113,226,true,2012-10-21 20:12:55,0,264.74
16,60,243,true,2016-12-02 06:25:32,6,379.81
16,2271,247,true,2000-07-27 12:31:59,10,198.19
16,2952,146,false,,5,235.00
16,452,171,false,,2,209.41
16,3445,59,true,2010-06-26 11:46:58,10,197.09
17,980,99,true,1978-02-05 23:19:27,0,42.71
17,753,71,true,1974-01-14 11:58:06,8,363.27
18,923,273,false,,8,84.45
18,1706,155,false,,5,136.29
18,3997,21,false,,3,171.93
19,2978,91,false,,2,230.10
20,1298,178,true,2018-04-21 03:22:36,6,18.82
20,2648,56,false,,4,218.67
20,1790,177,true,2009-05-02 07:50:54,9,161.25
20,3337,258,true,2018-02-08 21:03:50,8,92.20
20,1677,72,true,1982-10-18 04:13:30,1,240.61
21,3090,215,true,2002-12-13 04:58:19,9,494.34
21,1407,193,true,2004-02-15 04:22:53,5,388.39
21,1671,109,false,,3,133.66
21,2252,100,false,,6,166.64
21,1090,29,true,1971-10-07 01:04:48,3,30.39
22,3449,84,true,1988-08-16 16:33:06,10,75.59
22,1526,131,true,2010-04-15 08:48:05,3,424.04
22,2500,258,false,,1,316.29
22,2998,260,false,,3,140.35
22,44,83,false,,7,212.04
23,595,197,false,,3,77.59
23,1908,195,false,,9,324.73
23,1548,33,false,,8,404.40
23,3773,182,true,1979-07-11 07:35:50,6,100.05
23,3269,138,false,,8,215.17
24,3607,56,false,,9,176.35
24,3975,276,false,,5,216.86
24,2829,150,false,,3,383.71
25,3741,35,true,2010-06-30 16:52:21,5,257.59
25,3935,26,false,,4,45.07
25,3875,163,false,,4,203.30
25,3093,263,true,2001-09-17 14:38:05,2,177.17
26,3121,243,true,2018-04-24 18:17:43,3,317.63
26,1858,214,false,,10,210.20
26,1250,202,true,1984-07-08 07:25:01,8,151.53
26,1126,144,true,1977-03-24 07:26:08,5,429.34
26,3022,21,true,1998-07-30 08:34:56,10,51.47
27,2585,286,false,,2,177.67
27,874,122,false,,2,216.49
27,3490,55,false,,1,212.51
28,3607,64,true,1984-03-17 02:47:30,4,224.26
28,3247,130,false,,3,462.84
28,345,91,false,,5,56.12
28,597,195,false,,10,400.15
28,1433,65,true,2017-08-27 07:44:18,5,6.84
29,12,249,false,,2,373.46
29,2405,231,true,1995-07-04 14:39:33,1,271.52
29,2088,184,true,2003-03-28 13:08:12,6,224.21
30,909,102,true,1986-11-30 22:23:51,0,436.05
31,525,220,true,1984-08-31 06:05:13,2,187.36
31,2769,1,false,,10,350.98
31,1459,47,true,1982-10-10 15:34:13,9,74.04
32,668,152,true,2018-10-13 04:52:05,10,73.42
32,1785,261,false,,0,363.33
